ResponseId,Pet,Age,Female,pain1,frequ,pain2,love1,love2,love3,attention,paindrop,loveAVG,filter
R_1KuRMdOcWK1khht,0,60,0,5,2,1,6,3,4,2,4,4.333333333,1
R_1kZJGilXFK9d1Kt,1,28,0,6,4,4,7,4,7,2,2,6,1
R_1kZkA90FJbRYNA0,0,37,1,4,5,4,7,6,6,2,0,6.333333333,1
R_1l5mSmYErzQLu2D,1,40,0,4,5,1,7,7,7,2,3,7,1
R_1LcbtDdtT133tRs,1,56,0,6,5,6,7,7,7,2,0,7,0
R_1LcfGw4nLsfAfrL,0,32,0,3,5,2,5,7,5,2,1,5.666666667,0
R_1LMxudX3R1Vwlvc,0,36,0,6,5,2,7,7,6,2,4,6.666666667,1
R_1LNoiZU4lOYPBvL,1,30,0,5,4,6,5,4,5,2,-1,4.666666667,0
R_1LUPqoyeVqIYHBJ,1,35,0,1,4,1,6,5,6,2,0,5.666666667,0
R_1LuSI4ATWFvKs8o,0,28,0,3,4,4,3,4,5,2,-1,4,1
R_1mEkReOwi8j14Y3,1,34,1,5,5,1,7,7,7,2,4,7,1
R_1mkp06eqgGsFjAg,1,37,1,6,5,4,5,6,6,2,2,5.666666667,1
R_1mkQ0f5mmjFbNqt,1,35,0,1,4,1,7,6,7,2,0,6.666666667,0
R_1MMKwltKeTo8IhG,0,30,1,5,5,5,7,7,7,2,0,7,0
R_1mryKqwXMJneoYN,0,31,0,5,4,5,6,5,6,2,0,5.666666667,0
R_1MVWaFAt8HkqYvo,1,28,0,5,4,4,4,6,5,2,1,5,1
R_1MWdu5HrulyomIV,1,35,0,4,5,4,5,5,4,2,0,4.666666667,0
R_1n7q8VJmP1aRDUc,1,40,1,2,5,1,7,7,7,1,1,7,0
R_1NhsZfCa8ZoBTAg,1,30,1,4,5,4,7,7,7,2,0,7,1
R_1Nky6WNUmPBgHo1,0,42,1,6,5,2,7,5,6,2,4,6,1
R_1NlGQbnDQOpkgqA,1,28,0,4,5,4,5,5,3,2,0,4.333333333,1
R_1nPWcBcprHOSRhi,1,41,0,6,4,1,7,7,7,2,5,7,1
R_1NqZWYyByg5lMgB,0,27,0,3,2,2,3,4,4,4,1,3.666666667,0
R_1Ns1oF2lUiiRyK9,0,65,0,6,5,2,6,7,6,2,4,6.333333333,1
R_1NtaxJlgzb1NJx4,1,33,0,3,4,3,4,5,4,2,0,4.333333333,0
R_1NXamwPpiyfXMAx,1,30,0,6,4,4,7,6,7,2,2,6.666666667,1
R_1o0HYC9KKozMZH0,1,47,1,5,5,2,7,7,7,2,3,7,1
R_1o59wCZMTKp0O4B,1,42,0,6,2,3,7,7,6,2,3,6.666666667,1
R_1oBku8NPL83AEG6,0,30,0,6,5,1,7,6,2,2,5,5,0
R_1oBwcVj8tFuvl2O,0,49,1,4,4,5,6,5,6,2,-1,5.666666667,0
R_1ohZQ9dRpX4OaUV,1,69,0,5,4,1,6,6,6,2,4,6,1
R_1oi0WbvzQ6R1Gme,0,45,1,2,1,4,7,1,7,2,-2,5,1
R_1OpEmLa3LgxWY1O,1,45,1,2,5,1,7,7,7,2,1,7,1
R_1Ovh1sF2MrqWzpF,0,35,1,6,5,5,7,4,7,2,1,6,1
R_1P5KaF7fHIufKJi,0,35,0,5,5,4,5,7,6,2,1,6,0
R_1P6JMZFf5aiEv7F,0,34,0,4,5,2,7,7,7,2,2,7,1
R_1pAutH81HTcEepC,1,64,0,6,4,1,7,7,7,2,5,7,1
R_1Pb1YTNxOkxTyoA,0,22,0,2,2,2,7,7,7,2,0,7,1
R_1pJuwKsfMN5zlfx,0,31,1,3,5,2,7,7,7,2,1,7,1
R_1pKCpKXxt0t0Cai,0,48,1,6,5,1,7,7,7,2,5,7,1
R_1PXCjfa76kdc2lJ,0,61,0,6,5,1,7,4,7,2,5,6,1
R_1q1Xuv4GXFn0rAw,1,25,0,4,5,4,5,6,7,2,0,6,0
R_1Q6M04juIM2gmy7,0,42,1,6,5,1,7,7,7,2,5,7,1
R_1qesG2TC8AIXvZS,1,19,0,5,2,2,6,6,7,2,3,6.333333333,1
R_1r97SUq3Gqgoyd1,1,33,0,2,5,1,7,7,7,2,1,7,1
R_1rCwno9VIBG4QE0,0,30,1,4,4,4,4,5,6,2,0,5,0
R_1rPwTzp2UbJQJLj,1,33,0,4,5,2,7,7,7,2,2,7,1
R_2108DVCAzvkhu9u,0,32,1,4,5,2,5,6,7,2,2,6,0
R_211iPoTRTTzxKJC,0,48,0,3,4,1,6,7,6,2,2,6.333333333,0
R_215mAYhYWIFbU3n,0,43,0,4,4,2,7,6,7,2,2,6.666666667,1
R_21cAoYRuRY4zcPj,0,29,0,6,4,6,4,6,5,2,0,5,0
R_21vTJLYwBBmraJm,1,21,0,4,4,2,7,7,5,2,2,6.333333333,1
R_22Jnr4WeylaMbIc,1,40,1,6,5,2,7,7,7,2,4,7,1
R_22Kc6DZYOCUOsAW,1,32,0,3,5,3,5,5,6,2,0,5.333333333,0
R_22Q80aoewETa1dP,1,26,0,6,5,3,5,5,7,2,3,5.666666667,1
R_22QzpklBq55SlgM,1,36,0,4,5,2,7,7,7,2,2,7,1
R_22yLRzPudFEsuXR,1,40,0,5,4,1,5,7,4,2,4,5.333333333,1
R_23UkgJ80qKMqxZi,0,33,0,2,5,2,7,7,7,2,0,7,1
R_246MFhH8GQpLOmw,0,42,0,1,5,2,6,5,6,2,-1,5.666666667,0
R_24BJYu2XCWcjdi5,0,32,0,5,5,2,4,5,6,2,3,5,0
R_24HF4OJ3WEm8nKU,1,30,0,5,5,1,6,6,7,2,4,6.333333333,0
R_24IAsk2pGdCasDi,0,32,0,6,4,5,7,1,1,2,1,3,1
R_24NTRJFXTPAQVxI,0,27,0,4,2,1,7,1,7,2,3,5,1
R_24tJKvibMbDjjw6,0,27,1,5,3,3,7,6,6,2,2,6.333333333,1
R_24YTrJNv8y6AGlP,0,32,0,4,5,4,6,5,4,2,0,5,0
R_25LTg5n501cxO6p,0,31,1,4,5,2,7,7,7,2,2,7,1
R_25NGvWq6qPQNT9v,1,50,0,4,4,4,5,6,6,2,0,5.666666667,1
R_25NLWn6NimO8Emv,1,33,0,6,4,1,7,7,7,2,5,7,1
R_25ZXXFLAxPtHzkJ,0,28,1,4,3,4,4,4,3,2,0,3.666666667,0
R_262YM2120wLRmiu,0,27,1,4,4,2,5,6,5,2,2,5.333333333,0
R_27a17hzP9hXl3yG,0,37,1,5,5,6,7,5,4,2,-1,5.333333333,1
R_27EdkzCItkVngCm,0,33,0,4,3,4,6,3,5,2,0,4.666666667,1
R_27gpmvP4FEpbJLx,0,34,1,2,5,6,7,7,7,2,-4,7,1
R_27rE0F2FIqPT5y2,1,39,0,5,1,3,7,7,1,2,2,5,1
R_27UoOwdb8cRaNdn,1,30,1,5,5,5,6,6,6,2,0,6,0
R_27VdVvOVENBuIsZ,0,32,0,6,5,5,7,6,7,2,1,6.666666667,0
R_27VUSrmvP1VehTz,1,26,1,2,5,3,7,6,7,2,-1,6.666666667,1
R_28IiUVGoPk6iX7h,1,38,1,5,5,1,7,7,7,2,4,7,1
R_28IppIv6g1jNNXg,1,48,1,3,4,3,6,5,6,2,0,5.666666667,0
R_28NFXCxLhCGW82W,1,30,0,3,4,1,6,5,6,2,2,5.666666667,0
R_28ZsDgPTTKwsSkx,0,37,0,5,4,1,7,5,6,2,4,6,1
R_29j3cQgAToBzPJl,1,33,1,3,2,1,7,7,7,2,2,7,1
R_2a9ojpDcNy46RVC,1,36,0,4,4,2,6,7,6,2,2,6.333333333,1
R_2a9pNbrAwhO0w2e,0,30,1,5,4,6,4,5,6,2,-1,5,0
R_2aE0ETKusiZ8sNh,1,35,0,6,5,6,6,7,6,2,0,6.333333333,0
R_2AEfxGTdEEQcGzZ,1,46,1,5,4,5,6,4,5,2,0,5,0
R_2aIuwalDWGu4x8u,1,31,1,5,5,1,7,7,3,2,4,5.666666667,1
R_2AKymD0zhfAWKzA,1,37,1,6,4,2,4,4,4,2,4,4,1
R_2amGnVDojZJ1Rtm,1,58,0,4,4,2,6,6,6,2,2,6,1
R_2an22HBdVNP8YoB,0,40,0,3,4,2,6,5,6,2,1,5.666666667,1
R_2anK4erPFTMyK8T,1,26,1,6,5,5,7,7,7,2,1,7,1
R_2aP4QQ0MIKMeXBT,1,41,0,6,3,1,4,6,5,2,5,5,1
R_2aQBDEvKxAriIdy,1,31,0,3,5,1,7,7,7,2,2,7,1
R_2AS8DyOhcGZ77Ui,1,50,1,5,4,4,6,5,6,2,1,5.666666667,0
R_2aUBPujY5BT8wkI,0,39,1,6,5,4,7,7,7,2,2,7,1
R_2AWLs2W1gizIQoE,1,73,1,4,5,1,6,7,6,2,3,6.333333333,1
R_2aX2AzoUyhxsmVq,0,24,1,6,5,6,7,7,7,2,0,7,0
R_2B9BOfxLLYc6vEi,0,44,0,4,3,2,4,3,6,4,2,4.333333333,0
R_2BeTz5gdQ4gJGYV,0,58,1,5,3,2,7,7,7,2,3,7,1
R_2bIreaqKjXbXmGc,1,26,1,2,4,1,7,7,7,2,1,7,1
R_2BkRtWplQv7N4CJ,1,45,1,5,5,5,4,6,7,2,0,5.666666667,1
R_2BnT0Y0P4AYIKME,1,71,0,6,4,2,6,6,5,2,4,5.666666667,1
R_2bWekF9OxTpzZUW,0,27,1,1,4,1,4,4,4,2,0,4,1
R_2c0hI8zECcSHXKz,0,39,1,6,4,1,7,7,7,2,5,7,1
R_2cAVAjnyra0jYG6,1,30,1,6,4,2,7,7,7,2,4,7,1
R_2CB8Y1NXOO06bH5,0,43,0,3,4,4,7,6,7,2,-1,6.666666667,1
R_2cBJPfYYZqQ0ugn,1,24,0,4,4,1,6,2,4,2,3,4,1
R_2CBnJ7YOJuufMtG,0,41,1,5,5,1,7,7,7,2,4,7,1
R_2CDHwUZ8Kqpvjba,0,29,0,2,5,4,7,7,7,2,-2,7,1
R_2CDpFXmd6kjnSbA,1,38,1,4,4,2,7,7,7,2,2,7,1
R_2CeaX8yTimK9bd9,0,64,1,5,5,1,7,3,7,2,4,5.666666667,1
R_2CPqC41KBBFKj51,1,38,0,6,5,4,7,7,7,2,2,7,1
R_2cpSP5ntXRg2HaE,1,57,0,5,5,5,7,7,7,2,0,7,1
R_2CV9z7ujbf9aQrN,0,31,0,6,5,6,7,6,6,2,0,6.333333333,0
R_2cvbZLW8t2nXrus,0,36,0,5,5,3,6,4,4,2,2,4.666666667,1
R_2CxKWqCNUBm2eRe,1,40,0,4,2,4,5,5,5,2,0,5,1
R_2CZdYt67CvzhMs4,0,39,0,5,5,1,7,6,5,2,4,6,1
R_2D5pvfIZ8G1v0D6,1,54,0,4,5,4,4,6,5,5,0,5,0
R_2dFqZ1iaWb0bmuh,1,25,0,6,4,6,7,7,7,7,0,7,0
R_2dsZCwCnWISqXTe,0,28,0,6,5,6,7,1,7,2,0,5,1
R_2dtH8eQQYVN9B4f,0,33,0,4,4,5,5,1,6,2,-1,4,1
R_2dym2fE6eWUupHh,0,42,1,5,4,3,7,6,6,2,2,6.333333333,1
R_2dztN4EfcWKHXtC,1,57,0,5,4,4,5,6,6,2,1,5.666666667,0
R_2E4uRF7pObRdiMK,1,41,1,6,5,1,7,7,7,2,5,7,1
R_2E5e24xcNyAZXAL,0,44,0,5,4,1,6,6,6,2,4,6,1
R_2ebeZzE34A6xyFP,1,43,0,2,5,1,7,7,7,2,1,7,1
R_2EEoCVEJ8as3x2h,1,49,0,5,3,2,4,4,4,2,3,4,0
R_2EfTM6zvpj8Ltkb,1,23,0,4,4,2,7,7,7,2,2,7,1
R_2EFvTIFaBGXdZMS,0,62,1,6,4,4,7,7,7,2,2,7,1
R_2EmCKBNKfQKYb0O,1,44,0,6,2,5,5,6,5,2,1,5.333333333,0
R_2f3sUPTLvIHayL8,0,24,1,6,2,2,3,4,4,2,4,3.666666667,1
R_2fBfH6URhzy6Mx4,0,25,1,1,5,1,6,7,5,2,0,6,1
R_2fcEtORpk1ZgqYf,0,30,1,3,1,1,5,1,3,2,2,3,1
R_2fqYVVNGeHlcYpk,1,26,0,2,2,2,4,5,5,2,0,4.666666667,1
R_2hm6yZRUop5XHTr,0,26,0,5,3,4,6,7,6,2,1,6.333333333,1
R_2n2hHhuB1j56cbn,1,36,0,4,2,1,7,7,7,2,3,7,1
R_2OHmfqdk2IdnaNK,0,63,0,6,5,1,7,6,6,2,5,6.333333333,1
R_2OZlGvgASg5dCe0,1,38,0,4,4,3,7,7,7,2,1,7,1
R_2PBbKgrtJFaGfAK,0,26,1,3,4,1,6,4,5,2,2,5,1
R_2Pcd0ASspMcNZNH,0,35,0,6,3,5,6,5,4,5,1,5,0
R_2PpLqcREUkfObkt,1,22,1,2,5,1,7,7,7,2,1,7,1
R_2Pwm9Ob7GeSLvWE,1,32,0,5,4,1,7,7,7,2,4,7,1
R_2qftQcqxV4lk8LI,0,32,0,5,3,5,3,4,5,5,0,4,0
R_2QoHcI8J5dQHuTe,1,32,1,2,5,1,7,7,7,2,1,7,1
R_2QPtz1JqJ14me1C,0,38,1,1,4,1,6,7,6,2,0,6.333333333,0
R_2qr49THgjrs85ZT,0,30,1,6,5,6,7,7,7,2,0,7,1
R_2QzAqeFzl9gO9S4,1,22,0,4,5,1,7,7,7,2,3,7,1
R_2R32Abew6s6HlFP,0,45,1,6,5,1,7,7,7,2,5,7,1
R_2R3p5DWfOkKvJam,0,30,1,1,5,1,5,6,7,2,0,6,0
R_2rGdI69rcOgetwL,1,35,0,6,5,6,5,4,6,2,0,5,0
R_2rHEaJAQy9JDLVJ,0,26,1,6,5,1,7,7,7,2,5,7,1
R_2rOt02kza10tFkG,0,54,1,4,5,2,6,6,5,2,2,5.666666667,1
R_2rSDgZNBcXduTzr,0,30,0,5,4,5,6,7,6,2,0,6.333333333,0
R_2RTZThClOjyoeV4,1,27,0,3,2,1,6,6,6,2,2,6,1
R_2rUWjVfJoivQlbo,0,42,0,3,5,1,7,7,7,2,2,7,1
R_2rZ2gJuCCgkZKH7,0,63,1,3,3,3,7,6,6,2,0,6.333333333,1
R_2s4RQME6isOW010,0,44,1,3,4,1,7,7,3,2,2,5.666666667,1
R_2SB1TYonUo3oD22,0,70,1,6,4,3,7,7,7,2,3,7,1
R_2SJk2UvuWZvBWlO,0,25,0,5,5,4,6,1,5,2,1,4,1
R_2Sw54RDUHyD1d1a,0,33,0,3,2,2,7,2,5,2,1,4.666666667,1
R_2sZjA63HK0e8pSr,1,35,0,4,4,1,6,6,5,2,3,5.666666667,1
R_2tLLT7jBxQaori9,0,28,1,4,5,3,7,7,7,2,1,7,1
R_2TtaANfJBstwPr7,0,25,1,6,2,5,6,6,6,2,1,6,1
R_2txSmGZjYya1Kuc,0,48,0,6,5,2,7,6,7,2,4,6.666666667,1
R_2TyEDrzPyDmKBRR,0,59,0,1,2,2,4,5,4,2,-1,4.333333333,0
R_2TZbea1k6EHlnYW,0,67,1,2,4,2,7,6,6,2,0,6.333333333,1
R_2UbiJAZ7a4d3pL3,1,48,0,5,4,5,6,5,5,2,0,5.333333333,0
R_2UgfYtkiecCPXsP,1,26,0,4,3,1,7,7,6,2,3,6.666666667,1
R_2Uh1H5NRXxtrAD0,1,32,1,5,2,1,7,7,6,6,4,6.666666667,0
R_2UiuQ8hTZxrjr5Q,0,33,0,5,3,5,5,6,5,2,0,5.333333333,0
R_2uKcbky598FDgrf,1,52,0,4,4,2,6,6,5,2,2,5.666666667,0
R_2uNJ0JEAij8ghoE,0,34,1,4,5,1,7,7,7,2,3,7,1
R_2upkxlwSe40NsEn,0,35,1,6,5,5,7,6,6,2,1,6.333333333,0
R_2usxj2uAQPuqkiW,1,58,1,6,5,3,7,7,6,2,3,6.666666667,1
R_2uUHPArcaGnj0oG,0,29,0,4,2,1,6,6,6,2,3,6,1
R_2v1zCc5NTzlM6LO,1,32,0,5,4,5,3,4,5,2,0,4,0
R_2v832eaeTSWPLas,1,26,0,6,5,6,7,7,7,2,0,7,0
R_2VDCB3uDfp6ZFUk,1,32,0,5,4,1,6,7,6,2,4,6.333333333,1
R_2vjMiLGUpE2RX82,0,36,0,4,4,3,6,2,5,2,1,4.333333333,1
R_2Vwlu3fn4R2AEJf,0,50,0,5,5,2,7,5,6,2,3,6,1
R_2WBxUDEBYVUghrl,1,48,0,6,5,1,7,7,7,2,5,7,1
R_2WByE3z68A0yXeg,0,43,0,4,4,3,5,6,7,2,1,6,0
R_2WC25YjJcp5WkzC,0,39,0,6,5,2,7,6,6,2,4,6.333333333,1
R_2WCizfMVOCgsOJc,1,35,0,6,5,1,7,7,7,2,5,7,1
R_2WCOdTwY9aH7N3R,1,30,1,1,5,1,5,6,7,2,0,6,0
R_2wEpaJodqmkKZWa,1,44,0,4,1,5,7,7,7,2,-1,7,1
R_2wh7caQz9BYtPvm,1,65,1,3,4,3,1,3,1,2,0,1.666666667,1
R_2wSmnooqvr04gsJ,0,22,0,6,5,5,7,5,6,2,1,6,1
R_2WT3eN8lZi60cNZ,0,25,0,4,4,4,5,6,6,2,0,5.666666667,0
R_2WvbSEi6trFgz3C,1,35,1,6,5,4,7,7,7,2,2,7,1
R_2wyvpbpDprbQThj,0,24,0,3,5,4,7,7,7,2,-1,7,1
R_2WZttfjJcQLjx8R,0,62,0,4,5,2,4,5,4,2,2,4.333333333,0
R_2X6fzC4PZID3Iy1,0,36,0,4,5,4,5,7,7,2,0,6.333333333,1
R_2XaE5SYc0KP8y6f,1,61,0,1,5,1,7,7,7,2,0,7,0
R_2xCWTu0xh9QhJ0m,1,30,1,5,4,3,4,5,6,2,2,5,0
R_2XhS6kWuCDajL40,0,35,0,4,3,4,6,6,6,2,0,6,1
R_2xK6dJKl8U6jXhH,1,30,0,6,5,1,7,2,3,2,5,4,0
R_2xQMbdeJkreKNt2,1,38,0,4,4,2,7,7,7,2,2,7,1
R_2xxHDp7dPqmcUUK,0,31,0,5,4,5,6,5,4,2,0,5,0
R_2y31zTT0HFnn2BD,1,28,0,2,4,1,6,6,6,2,1,6,1
R_2y3pq9AuDcu5mAi,1,30,1,5,4,4,6,5,5,7,1,5.333333333,0
R_2y75g4LfBYBMTjw,1,60,1,5,2,1,7,7,7,2,4,7,1
R_2Y8M6Oh3C8MupwE,0,26,0,4,4,1,7,7,7,2,3,7,1
R_2yejirgswCawFfd,0,23,1,1,5,1,7,5,7,2,0,6.333333333,1
R_2yjYBGBB3R9yQL2,0,32,0,6,4,4,5,4,4,2,2,4.333333333,0
R_2YkSJ4FhvfvaRmQ,1,59,0,6,5,6,7,6,6,2,0,6.333333333,0
R_2YkX8v4DyNsiCnG,0,25,1,5,3,5,7,5,6,2,0,6,1
R_2YL002r5Zr0CVQ3,1,37,0,6,1,2,6,6,6,2,4,6,1
R_2Ymq2fH2ULcuvZ1,1,37,0,5,5,1,6,6,6,2,4,6,0
R_2YP0NT9jrk6Hywi,0,33,0,4,4,3,6,5,5,2,1,5.333333333,1
R_2YRCNXSA4QE3HRb,1,56,1,6,5,1,7,7,7,2,5,7,1
R_2ysfcU1vDMqUZFV,0,25,1,6,4,3,5,6,5,2,3,5.333333333,1
R_2Ysu7VeOYis3hrd,1,25,0,3,5,1,7,5,6,2,2,6,1
R_2YY5enaiWPsyaOe,1,25,1,4,5,1,7,7,7,7,3,7,0
R_2YzgB8kEBGL8wL4,1,52,1,4,4,4,7,7,7,2,0,7,1
R_2ZIZFOp9DRtSbYX,0,60,0,5,4,2,7,6,7,2,3,6.666666667,1
R_2zOSKoj1rMvwDO9,1,57,1,6,5,3,7,7,7,2,3,7,1
R_2ZP9BHfgeLBt7XE,0,48,1,6,2,4,7,4,7,2,2,6,1
R_2zpgdqVlT2Ow6Zs,1,24,1,4,4,3,7,7,7,2,1,7,1
R_2zRUocyF0i2cwRL,0,45,1,2,5,1,6,5,6,2,1,5.666666667,0
R_2zXUMxtYuyLoHlq,0,29,0,6,4,6,4,6,5,2,0,5,0
R_2zXX0SuJK2QVSCo,1,41,0,6,1,6,7,4,7,2,0,6,1
R_2zYqeI3XNWZ7hOu,1,38,0,1,4,1,7,7,7,2,0,7,1
R_308k4vzyZJ4B0ev,1,25,0,3,5,1,6,5,6,2,2,5.666666667,1
R_30c0iTtGa97ZcFR,1,52,1,6,3,2,1,7,1,2,4,3,1
R_31AFV6m9NwiMpKp,1,39,0,5,4,4,5,4,4,2,1,4.333333333,1
R_31d9fwpOis6Zlnv,1,32,1,5,4,4,7,7,7,2,1,7,1
